,code,class,name,market_cap,reg_day,per
92,A530019,kospi,삼성 미국 대형 성장주 ETN,396,-,-
93,A280320,kospi,KINDEX 미국IT인터넷S&P(합성 H),157,-,-
94,A105010,kospi,TIGER 라틴35,81,-,-
95,A326240,kospi,KBSTAR IT플러스,1696,-,-
96,A367380,kospi,KINDEX 미국나스닥100,1358,-,-
97,A250730,kospi,KBSTAR 차이나HSCEI(H),51,-,-
98,A510002,kospi,대신 아연선물 ETN(H),76,-,-
99,A133690,kospi,TIGER 미국나스닥100,7019,-,-
100,A217950,,파마리서치바이오,579,20151105,-
101,A368590,kospi,KBSTAR 미국나스닥100,668,-,-
102,A310080,kospi,KBSTAR 중국MSCI China선물(H),126,-,-
103,A500014,kospi,신한 인버스 옥수수 선물 ETN(H),197,-,-
104,A570027,kospi,TRUE 인버스 2X 유로스탁스50 ETN(H),71,-,-
105,A269540,kospi,ARIRANG 미국S&P500(H),299,-,-
106,A276650,kospi,KBSTAR 글로벌4차산업IT(합성 H),288,-,-
107,A219480,kospi,KODEX 미국S&P500선물(H),1229,-,-
108,A143850,kospi,TIGER 미국S&P500선물(H),1481,-,-
109,A180060,,탑선,953,20171027,-
110,A303360,,프로테옴텍,1285,20181219,-
111,A138910,kospi,KODEX 구리선물(H),174,-,-
112,A500016,kospi,신한 금 선물 ETN(H),266,-,-
113,A228800,kospi,TIGER 여행레저,444,-,-
114,A098560,kospi,TIGER 방송통신,55,-,-
115,A500020,kospi,신한 레버리지 다우존스지수 선물 ETN(H),655,-,-
116,A327970,,케어룸의료산업,190,20190805,-
117,A570025,kospi,TRUE 인버스 유로스탁스50 ETN(H) B,63,-,-
118,A140950,kospi,파워 코스피100,148,-,-
119,A227420,,도부마스크,560,20161228,-
120,A139320,kospi,TIGER 금은선물(H),75,-,-
121,A168300,kospi,KTOP 코스피50,153,-,-
122,A314700,kospi,HANARO 농업융복합산업,67,-,-
123,A367740,kospi,HANARO Fn5G산업,264,-,-
124,A139660,kospi,KOSEF 미국달러선물인버스,119,-,-
125,A217780,kospi,TIGER 차이나CSI300인버스(합성),294,-,-
126,A210780,kospi,TIGER 코스피고배당,161,-,-
127,A261270,kospi,KODEX 미국달러선물인버스,51,-,-
128,A301410,kospi,ARIRANG 코스닥150선물인버스,51,-,-
129,A333950,kospi,ARIRANG KS로우사이즈가중TR,51,-,-
130,A243880,kospi,TIGER 200IT레버리지,565,-,-
131,A319640,kospi,TIGER 골드선물(H),227,-,-
132,A368200,kospi,KBSTAR Fn K-뉴딜디지털플러스,63,-,-
133,A500018,kospi,신한 구리 선물 ETN(H),358,-,-
134,A550044,kospi,QV 레버리지 S&P500 ETN,428,-,-
